GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TestingG104,presentation,AccountInterface,10,0,0,0,4,0,2,0,2,0
TestingG104,presentation,AdminInterface,3,0,0,0,1,0,1,0,1,0
TestingG104,domain,Album,21,72,1,13,9,15,7,8,6,2
TestingG104,domain,Song,8,15,0,0,4,6,2,3,2,3
TestingG104,domain,Server,0,24,0,6,0,7,0,5,0,2
TestingG104,domain,Account,30,102,8,26,4,23,11,14,3,5
TestingG104,domain,Email,45,12,0,0,10,5,7,1,7,1
TestingG104,domain,Client,39,71,4,8,14,20,11,9,7,7
TestingG104,persistence,CassandraDBBroker,148,0,7,0,39,0,7,0,2,0
TestingG104,persistence,Admin,26,0,0,0,5,0,2,0,2,0
